AVOIDS ENORMOUS NETWORK PAYLOADS
URL;TRANSFER SIZE
https://it.wikipedia.org/w/load.php?lang=it&modules=ext.uls.interlanguage%7Cext.visualEditor.desktopArticleTarget.noscript%7Cext.wikimediaBadges%7Cskins.vector.styles.legacy&only=styles&skin=vector;10473 bytes;70 timespanMs
https://it.wikipedia.org/w/load.php?lang=it&modules=ext.gadget.PDCStriker&only=styles&skin=vector;1563 bytes;150 timespanMs
https://it.wikipedia.org/w/load.php?lang=it&modules=site.styles&only=styles&skin=vector;3025 bytes;150 timespanMs

KEEP REQUEST COUNTS LOW AND TRANSFER SIZES SMALL
RESOURCE TYPE;REQUESTS;TRANSFER SIZE
Total text;62 numeric;296469 bytes
Image text;48 numeric;180389 bytes
Script text;5 numeric;50394 bytes
Stylesheet text;4 numeric;33422 bytes
Document text;3 numeric;29867 bytes
Other text;2 numeric;2397 bytes
Media text; numeric; bytes
Font text; numeric; bytes
Third-party text;46 numeric;180307 bytes

REDUCE UNUSED CSS
URL;TRANSFER SIZE;POTENTIAL SAVINGS
.mw-editfont-monospace{font-family:monospace,monospace} ...;24057 bytes;24057 bytes

AVOID AN EXCESSIVE DOM SIZE
ELEMENT;STATISTIC;VALUE
 node;Total DOM Elements text;1474 numeric
{'lhId': '9-40-IMG', 'boundingRect': {'bottom': 2491, 'height': 40, 'left': 236, 'width': 30, 'right': 266, 'top': 2451}, 'type': 'node', 'selector': 'td > figure.noresize > a > img', 'snippet': '<img alt="Commons-logo.svg" src="//upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Commons-logo.svg/30px-…" decoding="async" width="30" height="40" srcset="//upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Commons-logo.svg/45px-…" data-file-width="1024" data-file-height="1376">', 'path': '1,HTML,1,BODY,2,DIV,4,DIV,6,DIV,0,DIV,2,DIV,0,DIV,9,DIV,3,DIV,2,DIV,0,DIV,0,TABLE,0,TBODY,0,TR,0,TD,0,FIGURE,0,A,0,IMG', 'nodeLabel': 'Commons-logo.svg'} node;Maximum DOM Depth text;18 numeric
